login,type,contributions,is_bot
BoyuanFeng,User,125,False
XilunWu,User,124,False
Xia-Weiwen,User,122,False
mingfeima,User,121,False
PaulZhang12,User,118,False
xwang233,User,116,False
int3,User,116,False
osalpekar,User,113,False
chuanqi129,User,111,False
Aidyn-A,User,110,False
NivekT,User,110,False
ngimel,User,110,False
Isalia20,User,110,False
xw285cornell,User,109,False
jiayisunx,User,107,False
chunyuan-w,User,107,False
jon-chuang,User,104,False
PaliC,User,102,False
AlekseiNikiforovIBM,User,101,False
yiming0416,User,100,False
lukeyeager,User,100,False
ColinPeppler,User,99,False
jianyuh,User,99,False
linbinyu,User,99,False
jataylo,User,98,False
HDCharles,User,98,False
weifengpy,User,98,False
anderspapitto,User,95,False
gmagogsfm,User,95,False
heitorschueroff,User,92,False
sraikund16,User,91,False
salexspb,User,89,False
rec,User,88,False
dzdang,User,88,False
neginraoof,User,87,False
shink,User,87,False
cccclai,User,87,False
dcci,User,86,False
842974287,User,86,False
tinglvv,User,85,False
benjaminglass1,User,84,False
Flamefire,User,83,False
dhruvbird,User,83,False
xush6528,User,81,False
mengluy0125,User,80,False
naromero77amd,User,79,False
Gamrix,User,79,False
EikanWang,User,78,False
iotamudelta,User,78,False
iseeyuan,User,77,False
kittipatv,User,76,False
muchulee8,User,76,False
andrewor14,User,76,False
Valentine233,User,74,False
nmacchioni,User,74,False
fmassa,User,73,False
syed-ahmed,User,72,False
clementfarabet,User,72,False
yanbing-j,User,71,False
harouwu,User,71,False
andreaskoepf,User,70,False
teng-li,User,69,False
koraykv,User,69,False
NikhilAPatel,User,68,False
liangel-02,User,68,False
kiszk,User,68,False
ifedan,User,67,False
dolpm,User,67,False
kennyhorror,User,66,False
nickgg,User,66,False
khushi-411,User,65,False
cbalioglu,User,65,False
izdeby,User,65,False
thomasjpfan,User,63,False
zhuhaozhe,User,63,False
anshul-si,User,62,False
raghuramank100,User,62,False
c00w,User,62,False
DenisVieriu97,User,61,False
razarmehr,User,61,False
mcr229,User,60,False
aakhundov,User,60,False
d1jang,User,60,False
sf-wind,User,60,False
migeed-z,User,60,False
aaronenyeshi,User,59,False
VirrageS,User,59,False
amjames,User,59,False
blaine-rister,User,58,False
shuqiangzhang,User,58,False
JacobSzwejbka,User,58,False
dskhudia,User,57,False
aazzolini,User,57,False
huiguoo,User,57,False
salilsdesai,User,57,False
pragupta,User,56,False
izaitsevfb,User,55,False
kulinseth,User,55,False
Jokeren,User,55,False
LucasLLC,User,54,False
maggiemoss,User,54,False
qihqi,User,53,False
ajyu,User,53,False
xianjiec,User,53,False
lantiga,User,53,False
c-p-i-o,User,52,False
dominikgrewe,User,52,False
manuelcandales,User,52,False
larryliu0820,User,52,False
dependabot[bot],Bot,52,True
mattip,User,51,False
exclamaforte,User,51,False
csarofeen,User,51,False
sjeaugey,User,50,False
nairbv,User,50,False
svekars,User,49,False
coconutruben,User,49,False
ankitageorge,User,49,False
alexsamardzic,User,48,False
vspenubarthi,User,47,False
kundaMwiza,User,47,False
krshrimali,User,47,False
jcaip,User,46,False
jfix71,User,46,False
rtimpe,User,46,False
duc0,User,45,False
karthickai,User,45,False
xinyazhang,User,44,False
lly-zero-one,User,44,False
csummersea,User,44,False
zxiiro,User,44,False
andyanwang,User,43,False
aivanou,User,43,False
ChunliF,User,43,False
chocjy,User,42,False
Fuzzkatt,User,42,False
fritzo,User,42,False
rgommers,User,42,False
zpcore,User,42,False
mruberry,User,41,False
Freey0,User,41,False
dagitses,User,41,False
alykhantejani,User,41,False
yangw-dev,User,41,False
tianyu-l,User,41,False
jhcross,User,41,False
jagadish-amd,User,41,False
frgossen,User,41,False
jeanschmidt,User,40,False
li-roy,User,39,False
xuzhao9,User,39,False
nWEIdia,User,39,False
iramazanli,User,39,False
andrewwdye,User,38,False
YUNQIUGUO,User,38,False
min-jean-cho,User,38,False
adamlerer,User,37,False
digantdesai,User,37,False
kostmo,User,37,False
hl475,User,37,False
lakshayg,User,37,False
gujinghui,User,36,False
v0dro,User,36,False
szagoruyko,User,36,False
weiyangfb,User,36,False
zhouzhuojie,User,36,False
zengk95,User,35,False
definitelynotmcarilli,User,35,False
ev-br,User,35,False
azahed98,User,34,False
xcheng16,User,34,False
george-qi,User,33,False
kadeng,User,33,False
wesolwsk,User,33,False
pavithranrao,User,33,False
xuanzhang816,User,33,False
simpkins,User,32,False
jaglinux,User,32,False
